Date,Close,Volume,VIX_Close,Unemployment,Google_Sentiment_Index,SP500_Returns,VIX_Change,VIX_Norm,Google_Norm,Unemp_Norm,Mood_Index,Mood_Zone
2004-01-02,1126.3299560546875,5930800000,15.5,5.7,38.0,,,0.09435364982795177,0.3404255319148936,0.2017543859649123,0.2121778559025859,Calm
2004-01-09,1130.52001953125,8209800000,16.75,5.7,38.0,0.0037201030249069955,0.08064516129032251,0.11292720182790325,0.3404255319148936,0.2017543859649123,0.21836903990256973,Calm
2004-01-16,1147.6199951171875,6871900000,14.34000015258789,5.7,38.0,0.015125760968857316,-0.14388058790520053,0.0771173958392761,0.3404255319148936,0.2017543859649123,0.20643243790636068,Calm
2004-01-23,1128.47998046875,8250600000,16.780000686645508,5.7,38.0,-0.016678007293244312,0.17015345244729851,0.11337297727865894,0.3404255319148936,0.2017543859649123,0.21851763171948826,Calm
2004-01-30,1126.52001953125,8267800000,17.8700008392334,5.7,38.0,-0.001736814982473911,0.06495829010635124,0.12956911688989592,0.3404255319148936,0.2017543859649123,0.22391634492323395,Calm
2004-02-06,1157.760009765625,7450900000,15.390000343322754,5.6,46.0,0.02773141150866909,-0.13878009957704251,0.09271918235333448,0.425531914893617,0.1929824561403508,0.23707785112910076,Calm
2004-02-13,1151.8199462890625,5572400000,15.59000015258789,5.6,46.0,-0.005130651798696206,0.01299543890860999,0.09569094783922757,0.425531914893617,0.1929824561403508,0.23806843962439847,Calm
2004-02-20,1143.6700439453125,7327100000,14.93000030517578,5.6,46.0,-0.007075673910672764,-0.04233481981734,0.08588411465053247,0.425531914893617,0.1929824561403508,0.23479949522816676,Calm
2004-02-27,1151.030029296875,7231900000,14.550000190734863,5.6,46.0,0.00643540974997725,-0.025452116990860474,0.08023775314208778,0.425531914893617,0.1929824561403508,0.23291737472535187,Calm
2004-03-05,1123.8900146484375,7066200000,18.670000076293945,5.8,53.0,-0.02357889364973076,0.2831615004501933,0.1414561788334684,0.5,0.21052631578947362,0.283994164874314,Calm
2004-03-12,1123.75,7869800000,18.11000061035156,5.8,53.0,-0.00012458038296681018,-0.029994615085912057,0.13313523547296763,0.5,0.21052631578947362,0.2812205170874804,Calm
2004-03-19,1091.3299560546875,7264900000,19.809999465942383,5.8,53.0,-0.02884987225389324,0.09387072326320722,0.15839524918830694,0.5,0.21052631578947362,0.2896405216592602,Calm
2004-03-26,1126.2099609375,7089400000,16.739999771118164,5.8,53.0,0.03196100747468589,-0.15497222501707808,0.11277861001098471,0.5,0.21052631578947362,0.2744349752668194,Calm
2004-04-02,1140.530029296875,7460100000,15.760000228881836,5.6,49.0,0.012715274110570274,-0.05854238683605839,0.09821695204486064,0.45744680851063835,0.1929824561403508,0.24954873889861662,Calm
2004-04-09,1128.1700439453125,5273100000,15.619999885559082,5.6,49.0,-0.010837053855725531,-0.008883270386391806,0.09613670911948766,0.45744680851063835,0.1929824561403508,0.24885532459015894,Calm
2004-04-16,1124.0899658203125,7498000000,15.600000381469728,5.6,49.0,-0.0036165453487237986,-0.0012803779920538272,0.09583953965614617,0.45744680851063835,0.1929824561403508,0.24875626810237841,Calm
2004-04-23,1122.4100341796875,7887000000,16.290000915527344,5.6,49.0,-0.0014944814843169674,0.04423080238364774,0.1060921482955969,0.45744680851063835,0.1929824561403508,0.25217380431552866,Calm
2004-04-30,1121.530029296875,8196400000,15.770000457763672,5.6,49.0,-0.000784031553545117,-0.03192145049347517,0.0983655438617792,0.45744680851063835,0.1929824561403508,0.24959826950425612,Calm
2004-05-07,1097.280029296875,8312700000,18.13999938964844,5.6,40.0,-0.021622247614005663,0.1502852798408134,0.13358098258273216,0.3617021276595745,0.1929824561403508,0.2294218554608858,Calm
2004-05-14,1088.6800537109375,7078700000,18.93000030517578,5.6,40.0,-0.007837539512541958,0.04355021731578179,0.14531948105037723,0.3617021276595745,0.1929824561403508,0.23333468828343418,Calm
2004-05-21,1114.93994140625,6612200000,15.970000267028809,5.6,40.0,0.024120849468860506,-0.15636555681077613,0.10133730934767232,0.3617021276595745,0.1929824561403508,0.21867396438253253,Calm
2004-05-28,1124.989990234375,5109800000,16.079999923706055,5.6,40.0,0.009013982237867424,0.006887893227174757,0.10297177682228961,0.3617021276595745,0.1929824561403508,0.21921878687407162,Calm
2004-06-04,1131.3299560546875,6026600000,15.390000343322754,5.6,21.0,0.005635575316533803,-0.042910421869223,0.09271918235333448,0.1595744680851064,0.1929824561403508,0.14842536885959723,Calm
2004-06-11,1133.56005859375,4854300000,14.789999961853027,5.6,21.0,0.0019712220357352983,-0.0389863786929705,0.08380387172515952,0.1595744680851064,0.1929824561403508,0.14545359865020557,Calm
2004-06-18,1144.06005859375,6747700000,13.979999542236328,5.6,21.0,0.00926285283289352,-0.05476676279282522,0.0717682037941729,0.1595744680851064,0.1929824561403508,0.14144170933987668,Calm
2004-06-25,1140.8399658203125,7411200000,14.34000015258789,5.6,21.0,-0.0028146186463283707,0.025751117463482798,0.0771173958392761,0.1595744680851064,0.1929824561403508,0.1432247733549111,Calm
2004-07-02,1118.3299560546875,5192600000,15.8100004196167,5.5,12.0,-0.01973108449916494,0.1025104777815169,0.09895989695895782,0.06382978723404255,0.18421052631578944,0.11566673683626327,Calm
2004-07-09,1111.469970703125,6363700000,13.760000228881836,5.5,12.0,-0.006134133593061919,-0.12966477775618956,0.06849926884493826,0.06382978723404255,0.18421052631578944,0.10551319413159009,Calm
2004-07-16,1093.8800048828125,7304200000,16.40999984741211,5.5,12.0,-0.015825857903461804,0.192587178375768,0.10787519341663718,0.06382978723404255,0.18421052631578944,0.11863850232215639,Calm
2004-07-23,1095.4200439453125,7596800000,16.149999618530273,5.5,12.0,0.001407868372788279,-0.01584401165749183,0.10401189119972831,0.06382978723404255,0.18421052631578944,0.1173507349165201,Calm
2004-07-30,1098.6300048828125,6811800000,16.209999084472656,5.5,12.0,0.0029303470894497252,0.0037151372978077024,0.10490341376024845,0.06382978723404255,0.18421052631578944,0.11764790910336015,Calm
2004-08-06,1075.7900390625,6660400000,18.040000915527344,5.4,13.0,-0.02078949757316051,0.11289339509017138,0.13209512109552896,0.07446808510638299,0.17543859649122812,0.1273339342310467,Calm
